"Pattern1","Pattern2","Pattern3","Pattern4","Original_Head"
"يبدأ في القتال","يبدأ في القتال لأنه [MASK] .","يبدأ في القتال بسبب [MASK] .","تبدأ في القتال لأنها [MASK] .","تبدأ في القتال بسبب [MASK] ."
"يبدأ في الركض","يبدأ في الركض لأنه [MASK] .","يبدأ في الركض بسبب [MASK] .","تبدأ في الركض لأنها [MASK] .","تبدأ في الركض بسبب [MASK] ."
"يتسول مالا","يتسول مالا لأنه [MASK] .","يتسول مالا بسبب [MASK] .","تتسول مالا لأنها [MASK] .","تتسول مالا بسبب [MASK] ."
"ينفث الدخان","ينفث الدخان لأنه [MASK] .","ينفث الدخان بسبب [MASK] .","تنفث الدخان لأنها [MASK] .","تنفث الدخان بسبب [MASK] ."
"يبني رجل ثلج عملاق","يبني رجل ثلج عملاق لأنه [MASK] .","يبني رجل ثلج عملاق بسبب [MASK] .","تبني رجل ثلج عملاق لأنها [MASK] .","تبني رجل ثلج عملاق بسبب [MASK] ."
"يحرق الديك الرومي","يحرق الديك الرومي لأنه [MASK] .","يحرق الديك الرومي بسبب [MASK] .","تحرق الديك الرومي لأنها [MASK] .","تحرق الديك الرومي بسبب [MASK] ."
"يشتري منزلًا جديدًا","يشتري منزلًا جديدًا لأنه [MASK] .","يشتري منزلًا جديدًا بسبب [MASK] .","تشتري منزلًا جديدًا لأنها [MASK] .","تشتري منزلًا جديدًا بسبب [MASK] ."
"يشتري أريكة جديدة","يشتري أريكة جديدة لأنه [MASK] .","يشتري أريكة جديدة بسبب [MASK] .","تشتري أريكة جديدة لأنها [MASK] .","تشتري أريكة جديدة بسبب [MASK] ."
"يشتري لعبة جديدة","يشتري لعبة جديدة لأنه [MASK] .","يشتري لعبة جديدة بسبب [MASK] .","تشتري لعبة جديدة لأنها [MASK] .","تشتري لعبة جديدة بسبب [MASK] ."
"يشتري تذكرتي","يشتري تذكرتي لأنه [MASK] .","يشتري تذكرتي بسبب [MASK] .","تشتري تذكرتي لأنها [MASK] .","تشتري تذكرتي بسبب [MASK] ."
"يشتري جوارب جديدة","يشتري جوارب جديدة لأنه [MASK] .","يشتري جوارب جديدة بسبب [MASK] .","تشتري جوارب جديدة لأنها [MASK] .","تشتري جوارب جديدة بسبب [MASK] ."
"يشتري ملابس الجديدة","يشتري ملابس الجديدة لأنه [MASK] .","يشتري ملابس الجديدة بسبب [MASK] .","تشتري ملابس الجديدة لأنها [MASK] .","تشتري ملابس الجديدة بسبب [MASK] ."
"ينادي اسمي","ينادي اسمي لأنه [MASK] .","ينادي اسمي بسبب [MASK] .","تنادي اسمي لأنها [MASK] .","تنادي اسمي بسبب [MASK] ."
"ينظف الفناء","ينظف الفناء لأنه [MASK] .","ينظف الفناء بسبب [MASK] .","تنظف الفناء لأنها [MASK] .","تنظف الفناء بسبب [MASK] ."
"يزدحم","يزدحم لأنه [MASK] .","يزدحم بسبب [MASK] .","تزدحم لأنها [MASK] .","تزدحم بسبب [MASK] ."
"في علاقة لمدة خمس سنوات","في علاقة لمدة خمس سنوات لأنه [MASK] .","في علاقة لمدة خمس سنوات بسبب [MASK] .","في علاقة لمدة خمس سنوات لأنها [MASK] .","في علاقة لمدة خمس سنوات بسبب [MASK] ."
"يقرر الاستسلام","يقرر الاستسلام لأنه [MASK] .","يقرر الاستسلام بسبب [MASK] .","تقرر الاستسلام لأنها [MASK] .","تقرر الاستسلام بسبب [MASK] ."
"يقرر قراءة كتاب","يقرر قراءة كتاب لأنه [MASK] .","يقرر قراءة كتاب بسبب [MASK] .","تقرر قراءة كتاب لأنها [MASK] .","تقرر قراءة كتاب بسبب [MASK] ."
"يقرر بدء عمل تجاري","يقرر بدء عمل تجاري لأنه [MASK] .","يقرر بدء عمل تجاري بسبب [MASK] .","تقرر بدء عمل تجاري لأنها [MASK] .","تقرر بدء عمل تجاري بسبب [MASK] ."
"يسلم البيتزا","يسلم البيتزا لأنه [MASK] .","يسلم البيتزا بسبب [MASK] .","تسلم البيتزا لأنها [MASK] .","تسلم البيتزا بسبب [MASK] ."
"يقوم بعمل رائع","يقوم بعمل رائع لأنه [MASK] .","يقوم بعمل رائع بسبب [MASK] .","تقوم بعمل رائع لأنها [MASK] .","تقوم بعمل رائع بسبب [MASK] ."
"يتبرع بالمال","يتبرع بالمال لأنه [MASK] .","يتبرع بالمال بسبب [MASK] .","تتبرع بالمال لأنها [MASK] .","تتبرع بالمال بسبب [MASK] ."
"يقود سيارته في الشارع""","يقود سيارته في الشارع"" لأنه [MASK] .","يقود سيارته في الشارع"" بسبب [MASK] .","تقود سيارته في الشارع"" لأنها [MASK] .","تقود سيارته في الشارع"" بسبب [MASK] ."
"يقود سيارتي","يقود سيارتي لأنه [MASK] .","يقود سيارتي بسبب [MASK] .","تقود سيارتي لأنها [MASK] .","تقود سيارتي بسبب [MASK] ."
"يقود إلى الشاطئ","يقود إلى الشاطئ لأنه [MASK] .","يقود إلى الشاطئ بسبب [MASK] .","تقود إلى الشاطئ لأنها [MASK] .","تقود إلى الشاطئ بسبب [MASK] ."
"يأكل في مطعم لطيف","يأكل في مطعم لطيف لأنه [MASK] .","يأكل في مطعم لطيف بسبب [MASK] .","تأكل في مطعم لطيف لأنها [MASK] .","تأكل في مطعم لطيف بسبب [MASK] ."
"يتمتع برفقة بعضهم البعض","يتمتع برفقة بعضهم البعض لأنه [MASK] .","يتمتع برفقة بعضهم البعض بسبب [MASK] .","تتمتع برفقة بعضهم البعض لأنها [MASK] .","تتمتع برفقة بعضهم البعض بسبب [MASK] ."
"يجد الجاني","يجد الجاني لأنه [MASK] .","يجد الجاني بسبب [MASK] .","تجد الجاني لأنها [MASK] .","تجد الجاني بسبب [MASK] ."
"يجد الفستان المثالي","يجد الفستان المثالي لأنه [MASK] .","يجد الفستان المثالي بسبب [MASK] .","تجد الفستان المثالي لأنها [MASK] .","تجد الفستان المثالي بسبب [MASK] ."
"يطير على متن طائرة","يطير على متن طائرة لأنه [MASK] .","يطير على متن طائرة بسبب [MASK] .","تطير على متن طائرة لأنها [MASK] .","تطير على متن طائرة بسبب [MASK] ."
"يحصل على وظيفة جديدة","يحصل على وظيفة جديدة لأنه [MASK] .","يحصل على وظيفة جديدة بسبب [MASK] .","تحصل على وظيفة جديدة لأنها [MASK] .","تحصل على وظيفة جديدة بسبب [MASK] ."
"يحصل على قرض يوم دفع","يحصل على قرض يوم دفع لأنه [MASK] .","يحصل على قرض يوم دفع بسبب [MASK] .","تحصل على قرض يوم دفع لأنها [MASK] .","تحصل على قرض يوم دفع بسبب [MASK] ."
"يحصل على ترقية","يحصل على ترقية لأنه [MASK] .","يحصل على ترقية بسبب [MASK] .","تحصل على ترقية لأنها [MASK] .","تحصل على ترقية بسبب [MASK] ."
"يحصل على منحة","يحصل على منحة لأنه [MASK] .","يحصل على منحة بسبب [MASK] .","تحصل على منحة لأنها [MASK] .","تحصل على منحة بسبب [MASK] ."
"يصاب بالسرطان","يصاب بالسرطان لأنه [MASK] .","يصاب بالسرطان بسبب [MASK] .","تصاب بالسرطان لأنها [MASK] .","تصاب بالسرطان بسبب [MASK] ."
"يحتجز","يحتجز لأنه [MASK] .","يحتجز بسبب [MASK] .","تحتجز لأنها [MASK] .","تحتجز بسبب [MASK] ."
"يهدي","يهدي لأنه [MASK] .","يهدي بسبب [MASK] .","تهدي لأنها [MASK] .","تهدي بسبب [MASK] ."
"يذهب للتسوق في عيد الميلاد","يذهب للتسوق في عيد الميلاد لأنه [MASK] .","يذهب للتسوق في عيد الميلاد بسبب [MASK] .","تذهب للتسوق في عيد الميلاد لأنها [MASK] .","تذهب للتسوق في عيد الميلاد بسبب [MASK] ."
"يرى طبيباً","يرى طبيباً لأنه [MASK] .","يرى طبيباً بسبب [MASK] .","ترى طبيباً لأنها [MASK] .","ترى طبيباً بسبب [MASK] ."
"يذهب إلى الشاطئ مع الأصدقاء","يذهب إلى الشاطئ مع الأصدقاء لأنه [MASK] .","يذهب إلى الشاطئ مع الأصدقاء بسبب [MASK] .","تذهب إلى الشاطئ مع الأصدقاء لأنها [MASK] .","تذهب إلى الشاطئ مع الأصدقاء بسبب [MASK] ."
"يتخرج من المدرسة","يتخرج من المدرسة لأنه [MASK] .","يتخرج من المدرسة بسبب [MASK] .","تتخرج من المدرسة لأنها [MASK] .","تتخرج من المدرسة بسبب [MASK] ."
"يضحك في النهاية","يضحك في النهاية لأنه [MASK] .","يضحك في النهاية بسبب [MASK] .","تضحك في النهاية لأنها [MASK] .","تضحك في النهاية بسبب [MASK] ."
"يقوم بتعيين محقق خاص","يقوم بتعيين محقق خاص لأنه [MASK] .","يقوم بتعيين محقق خاص بسبب [MASK] .","تقوم بتعيين محقق خاص لأنها [MASK] .","تقوم بتعيين محقق خاص بسبب [MASK] ."
"يقوم بتعيين شخص ما","يقوم بتعيين شخص ما لأنه [MASK] .","يقوم بتعيين شخص ما بسبب [MASK] .","تقوم بتعيين شخص ما لأنها [MASK] .","تقوم بتعيين شخص ما بسبب [MASK] ."
"يسيطر","يسيطر لأنه [MASK] .","يسيطر بسبب [MASK] .","تسيطر لأنها [MASK] .","تسيطر بسبب [MASK] ."
"يدعو الناس","يدعو الناس لأنه [MASK] .","يدعو الناس بسبب [MASK] .","تدعو الناس لأنها [MASK] .","تدعو الناس بسبب [MASK] ."
"لاعب كرة سلة","لاعب كرة سلة لأنه [MASK] .","لاعب كرة سلة بسبب [MASK] .","لاعبة كرة سلة لأنها [MASK] .","لاعبة كرة سلة بسبب [MASK] ."
"طالب جديد في الكلية","طالب جديد في الكلية لأنه [MASK] .","طالب جديد في الكلية بسبب [MASK] .","طالبة جديد في الكلية لأنها [MASK] .","طالبة جديد في الكلية بسبب [MASK] ."
"تم القبض عليه واعتقاله","تم القبض عليه واعتقاله لأنه [MASK] .","تم القبض عليه واعتقاله بسبب [MASK] .","تم القبض عليها واعتقالها لأنها [MASK] .","تم القبض عليها واعتقالها بسبب [MASK] ."
"يقوم بطهي العشاء","يقوم بطهي العشاء لأنه [MASK] .","يقوم بطهي العشاء بسبب [MASK] .","تقوم بطهي العشاء لأنها [MASK] .","تقوم بطهي العشاء بسبب [MASK] ."
"يقود السيارة إلى العمل","يقود السيارة إلى العمل لأنه [MASK] .","يقود السيارة إلى العمل بسبب [MASK] .","تقود السيارة إلى العمل لأنها [MASK] .","تقود السيارة إلى العمل بسبب [MASK] ."
"يقوم بساحة بيع","يقوم بساحة بيع لأنه [MASK] .","يقوم بساحة بيع بسبب [MASK] .","تقوم بساحة بيع لأنها [MASK] .","تقوم بساحة بيع بسبب [MASK] ."
"عضو في فريق كرة القدم","عضو في فريق كرة القدم لأنه [MASK] .","عضو في فريق كرة القدم بسبب [MASK] .","عضو في فريق كرة القدم لأنها [MASK] .","عضو في فريق كرة القدم بسبب [MASK] ."
"يلعب الكرة","يلعب الكرة لأنه [MASK] .","يلعب الكرة بسبب [MASK] .","تلعب الكرة لأنها [MASK] .","تلعب الكرة بسبب [MASK] ."
"يلعب كرة سلة","يلعب كرة سلة لأنه [MASK] .","يلعب كرة سلة بسبب [MASK] .","تلعب كرة سلة لأنها [MASK] .","تلعب كرة سلة بسبب [MASK] ."
"ينضم إلى فريق","ينضم إلى فريق لأنه [MASK] .","ينضم إلى فريق بسبب [MASK] .","تنضم إلى فريق لأنها [MASK] .","تنضم إلى فريق بسبب [MASK] ."
"ينضم إلى فريق كرة القدم","ينضم إلى فريق كرة القدم لأنه [MASK] .","ينضم إلى فريق كرة القدم بسبب [MASK] .","تنضم إلى فريق كرة القدم لأنها [MASK] .","تنضم إلى فريق كرة القدم بسبب [MASK] ."
"يحصل على الوظيفة","يحصل على الوظيفة لأنه [MASK] .","يحصل على الوظيفة بسبب [MASK] .","تحصل على الوظيفة لأنها [MASK] .","تحصل على الوظيفة بسبب [MASK] ."
"يتعلم برمجة الكمبيوتر","يتعلم برمجة الكمبيوتر لأنه [MASK] .","يتعلم برمجة الكمبيوتر بسبب [MASK] .","تتعلم برمجة الكمبيوتر لأنها [MASK] .","تتعلم برمجة الكمبيوتر بسبب [MASK] ."
"يتعلم اللغة","يتعلم اللغة لأنه [MASK] .","يتعلم اللغة بسبب [MASK] .","تتعلم اللغة لأنها [MASK] .","تتعلم اللغة بسبب [MASK] ."
"يترك الماضي للماضي","يترك الماضي للماضي لأنه [MASK] .","يترك الماضي للماضي بسبب [MASK] .","تترك الماضي للماضي لأنها [MASK] .","تترك الماضي للماضي بسبب [MASK] ."
"يحب الموسيقى","يحب الموسيقى لأنه [MASK] .","يحب الموسيقى بسبب [MASK] .","تحب الموسيقى لأنها [MASK] .","تحب الموسيقى بسبب [MASK] ."
"يعيش الحلم","يعيش الحلم لأنه [MASK] .","يعيش الحلم بسبب [MASK] .","تعيش الحلم لأنها [MASK] .","تعيش الحلم بسبب [MASK] ."
"يصنع فيلما","يصنع فيلما لأنه [MASK] .","يصنع فيلما بسبب [MASK] .","تصنع فيلما لأنها [MASK] .","تصنع فيلما بسبب [MASK] ."
"يقدم عرضًا","يقدم عرضًا لأنه [MASK] .","يقدم عرضًا بسبب [MASK] .","تقدم عرضًا لأنها [MASK] .","تقدم عرضًا بسبب [MASK] ."
"يصنع فطيرة تفاح","يصنع فطيرة تفاح لأنه [MASK] .","يصنع فطيرة تفاح بسبب [MASK] .","تصنع فطيرة تفاح لأنها [MASK] .","تصنع فطيرة تفاح بسبب [MASK] ."
"يصنع الكوكيز برقائق الشوكولاتة","يصنع الكوكيز برقائق الشوكولاتة لأنه [MASK] .","يصنع الكوكيز برقائق الشوكولاتة بسبب [MASK] .","تصنع الكوكيز برقائق الشوكولاتة لأنها [MASK] .","تصنع الكوكيز برقائق الشوكولاتة بسبب [MASK] ."
"يصل إلى القمة","يصل إلى القمة لأنه [MASK] .","يصل إلى القمة بسبب [MASK] .","تصل إلى القمة لأنها [MASK] .","تصل إلى القمة بسبب [MASK] ."
"يحجز","يحجز لأنه [MASK] .","يحجز بسبب [MASK] .","تحجز لأنها [MASK] .","تحجز بسبب [MASK] ."
"يحضر القهوة","يحضر القهوة لأنه [MASK] .","يحضر القهوة بسبب [MASK] .","تحضر القهوة لأنها [MASK] .","تحضر القهوة بسبب [MASK] ."
"يصنع كعكات السكر","يصنع كعكات السكر لأنه [MASK] .","يصنع كعكات السكر بسبب [MASK] .","تصنع كعكات السكر لأنها [MASK] .","تصنع كعكات السكر بسبب [MASK] ."
"يقوم بتحديد الموعد","يقوم بتحديد الموعد لأنه [MASK] .","يقوم بتحديد الموعد بسبب [MASK] .","تقوم بتحديد الموعد لأنها [MASK] .","تقوم بتحديد الموعد بسبب [MASK] ."
"ينتقل إلى أوروبا","ينتقل إلى أوروبا لأنه [MASK] .","ينتقل إلى أوروبا بسبب [MASK] .","تنتقل إلى أوروبا لأنها [MASK] .","تنتقل إلى أوروبا بسبب [MASK] ."
"ينتقل إلى المكسيك","ينتقل إلى المكسيك لأنه [MASK] .","ينتقل إلى المكسيك بسبب [MASK] .","تنتقل إلى المكسيك لأنها [MASK] .","تنتقل إلى المكسيك بسبب [MASK] ."
"ينتقل إلى الضواحي","ينتقل إلى الضواحي لأنه [MASK] .","ينتقل إلى الضواحي بسبب [MASK] .","تنتقل إلى الضواحي لأنها [MASK] .","تنتقل إلى الضواحي بسبب [MASK] ."
"يفتح مطعمًا","يفتح مطعمًا لأنه [MASK] .","يفتح مطعمًا بسبب [MASK] .","تفتح مطعمًا لأنها [MASK] .","تفتح مطعمًا بسبب [MASK] ."
"يطلب طعاما جاهزا","يطلب طعاما جاهزا لأنه [MASK] .","يطلب طعاما جاهزا بسبب [MASK] .","تطلب طعاما جاهزا لأنها [MASK] .","تطلب طعاما جاهزا بسبب [MASK] ."
"يحزم حقائبي","يحزم حقائبي لأنه [MASK] .","يحزم حقائبي بسبب [MASK] .","تحزم حقائبي لأنها [MASK] .","تحزم حقائبي بسبب [MASK] ."
"يصبغ غرفة المعيشة","يصبغ غرفة المعيشة لأنه [MASK] .","يصبغ غرفة المعيشة بسبب [MASK] .","تصبغ غرفة المعيشة لأنها [MASK] .","تصبغ غرفة المعيشة بسبب [MASK] ."
"يصبغ الغرفة","يصبغ الغرفة لأنه [MASK] .","يصبغ الغرفة بسبب [MASK] .","تصبغ الغرفة لأنها [MASK] .","تصبغ الغرفة بسبب [MASK] ."
"ينقب عن الذهب","ينقب عن الذهب لأنه [MASK] .","ينقب عن الذهب بسبب [MASK] .","تنقب عن الذهب لأنها [MASK] .","تنقب عن الذهب بسبب [MASK] ."
"يمهد الطريق إلى الجحيم","يمهد الطريق إلى الجحيم لأنه [MASK] .","يمهد الطريق إلى الجحيم بسبب [MASK] .","تمهد الطريق إلى الجحيم لأنها [MASK] .","تمهد الطريق إلى الجحيم بسبب [MASK] ."
"يؤدي مناورة الهيمليك","يؤدي مناورة الهيمليك لأنه [MASK] .","يؤدي مناورة الهيمليك بسبب [MASK] .","تؤدي مناورة الهيمليك لأنها [MASK] .","تؤدي مناورة الهيمليك بسبب [MASK] ."
"يمزح","يمزح لأنه [MASK] .","يمزح بسبب [MASK] .","تمزح لأنها [MASK] .","تمزح بسبب [MASK] ."
"يلعب الورق","يلعب الورق لأنه [MASK] .","يلعب الورق بسبب [MASK] .","تلعب الورق لأنها [MASK] .","تلعب الورق بسبب [MASK] ."
"يلعب الداما","يلعب الداما لأنه [MASK] .","يلعب الداما بسبب [MASK] .","تلعب الداما لأنها [MASK] .","تلعب الداما بسبب [MASK] ."
"يعد العشاء","يعد العشاء لأنه [MASK] .","يعد العشاء بسبب [MASK] .","تعد العشاء لأنها [MASK] .","تعد العشاء بسبب [MASK] ."
"يوجه اتهامات","يوجه اتهامات لأنه [MASK] .","يوجه اتهامات بسبب [MASK] .","توجه اتهامات لأنها [MASK] .","توجه اتهامات بسبب [MASK] ."
"يضغط الزناد ","يضغط الزناد  لأنه [MASK] .","يضغط الزناد  بسبب [MASK] .","تضغط الزناد لأنها [MASK] .","تضغط الزناد بسبب [MASK] ."
"يضع إعلانًا في الصحيفة","يضع إعلانًا في الصحيفة لأنه [MASK] .","يضع إعلانًا في الصحيفة بسبب [MASK] .","تضع إعلانًا في الصحيفة لأنها [MASK] .","تضع إعلانًا في الصحيفة بسبب [MASK] ."
"يضع كل ذلك معًا","يضع كل ذلك معًا لأنه [MASK] .","يضع كل ذلك معًا بسبب [MASK] .","تضع كل ذلك معًا لأنها [MASK] .","تضع كل ذلك معًا بسبب [MASK] ."
"يتوقف عن تناول الحلوى","يتوقف عن تناول الحلوى لأنه [MASK] .","يتوقف عن تناول الحلوى بسبب [MASK] .","تتوقف عن تناول الحلوى لأنها [MASK] .","تتوقف عن تناول الحلوى بسبب [MASK] ."
"يترك تلك الوظيفة","يترك تلك الوظيفة لأنه [MASK] .","يترك تلك الوظيفة بسبب [MASK] .","تترك تلك الوظيفة لأنها [MASK] .","تترك تلك الوظيفة بسبب [MASK] ."
"يجمع أوراق الشجر","يجمع أوراق الشجر لأنه [MASK] .","يجمع أوراق الشجر بسبب [MASK] .","تجمع أوراق الشجر لأنها [MASK] .","تجمع أوراق الشجر بسبب [MASK] ."
"يتلقى ترقية","يتلقى ترقية لأنه [MASK] .","يتلقى ترقية بسبب [MASK] .","تتلقى ترقية لأنها [MASK] .","تتلقى ترقية بسبب [MASK] ."
"يوافق على مضض","يوافق على مضض لأنه [MASK] .","يوافق على مضض بسبب [MASK] .","توافق على مضض لأنها [MASK] .","توافق على مضض بسبب [MASK] ."
"يقوم بتأجير منزل على الشاطئ","يقوم بتأجير منزل على الشاطئ لأنه [MASK] .","يقوم بتأجير منزل على الشاطئ بسبب [MASK] .","تقوم بتأجير منزل على الشاطئ لأنها [MASK] .","تقوم بتأجير منزل على الشاطئ بسبب [MASK] ."
"يقوم بتأجير فيلم","يقوم بتأجير فيلم لأنه [MASK] .","يقوم بتأجير فيلم بسبب [MASK] .","تقوم بتأجير فيلم لأنها [MASK] .","تقوم بتأجير فيلم بسبب [MASK] ."
"يركب فيلاً","يركب فيلاً لأنه [MASK] .","يركب فيلاً بسبب [MASK] .","تركب فيلاً لأنها [MASK] .","تركب فيلاً بسبب [MASK] ."
"يركب طويلاً في السرج","يركب طويلاً في السرج لأنه [MASK] .","يركب طويلاً في السرج بسبب [MASK] .","تركب طويلاً في السرج لأنها [MASK] .","تركب طويلاً في السرج بسبب [MASK] ."
"يعمل بسرعة كبيرة","يعمل بسرعة كبيرة لأنه [MASK] .","يعمل بسرعة كبيرة بسبب [MASK] .","تعمل بسرعة كبيرة لأنها [MASK] .","تعمل بسرعة كبيرة بسبب [MASK] ."
"يقول مرحبا","يقول مرحبا لأنه [MASK] .","يقول مرحبا بسبب [MASK] .","تقول مرحبا لأنها [MASK] .","تقول مرحبا بسبب [MASK] ."
"يقول عمه","يقول عمه لأنه [MASK] .","يقول عمه بسبب [MASK] .","تقول عمه لأنها [MASK] .","تقول عمه بسبب [MASK] ."
"يرى مستشارًا","يرى مستشارًا لأنه [MASK] .","يرى مستشارًا بسبب [MASK] .","ترى مستشارًا لأنها [MASK] .","ترى مستشارًا بسبب [MASK] ."
"يرى كلبي","يرى كلبي لأنه [MASK] .","يرى كلبي بسبب [MASK] .","ترى كلبي لأنها [MASK] .","ترى كلبي بسبب [MASK] ."
"يرسل إلى السجن","يرسل إلى السجن لأنه [MASK] .","يرسل إلى السجن بسبب [MASK] .","ترسل إلى السجن لأنها [MASK] .","ترسل إلى السجن بسبب [MASK] ."
"يخدم في الجيش","يخدم في الجيش لأنه [MASK] .","يخدم في الجيش بسبب [MASK] .","تخدم في الجيش لأنها [MASK] .","تخدم في الجيش بسبب [MASK] ."
"يتسوق","يتسوق لأنه [MASK] .","يتسوق بسبب [MASK] .","تتسوق لأنها [MASK] .","تتسوق بسبب [MASK] ."
"يتخطى الغداء","يتخطى الغداء لأنه [MASK] .","يتخطى الغداء بسبب [MASK] .","تتخطى الغداء لأنها [MASK] .","تتخطى الغداء بسبب [MASK] ."
"يدور الزجاجة","يدور الزجاجة لأنه [MASK] .","يدور الزجاجة بسبب [MASK] .","تدور الزجاجة لأنها [MASK] .","تدور الزجاجة بسبب [MASK] ."
"يسرق سيارة","يسرق سيارة لأنه [MASK] .","يسرق سيارة بسبب [MASK] .","تسرق سيارة لأنها [MASK] .","تسرق سيارة بسبب [MASK] ."
"يسرق المال","يسرق المال لأنه [MASK] .","يسرق المال بسبب [MASK] .","تسرق المال لأنها [MASK] .","تسرق المال بسبب [MASK] ."
"توقف فجأة","توقف فجأة لأنه [MASK] .","توقف فجأة بسبب [MASK] .","توقفت فجأة لأنها [MASK] .","توقفت فجأة بسبب [MASK] ."
"يبدأ وظيفة جديدة","يبدأ وظيفة جديدة لأنه [MASK] .","يبدأ وظيفة جديدة بسبب [MASK] .","تبدأ وظيفة جديدة لأنها [MASK] .","تبدأ وظيفة جديدة بسبب [MASK] ."
"يأخذ كلبي في نزهة على الأقدام","يأخذ كلبي في نزهة على الأقدام لأنه [MASK] .","يأخذ كلبي في نزهة على الأقدام بسبب [MASK] .","تأخذ كلبي في نزهة على الأقدام لأنها [MASK] .","تأخذ كلبي في نزهة على الأقدام بسبب [MASK] ."
"يأخذ صديقتي","يأخذ صديقتي لأنه [MASK] .","يأخذ صديقتي بسبب [MASK] .","تأخذ صديقتي لأنها [MASK] .","تأخذ صديقتي بسبب [MASK] ."
"يشارك في نقاشات","يشارك في نقاشات لأنه [MASK] .","يشارك في نقاشات بسبب [MASK] .","تشارك في نقاشات لأنها [MASK] .","تشارك في نقاشات بسبب [MASK] ."
"يتخذ خطوات لمنع حدوث ذلك","يتخذ خطوات لمنع حدوث ذلك لأنه [MASK] .","يتخذ خطوات لمنع حدوث ذلك بسبب [MASK] .","تتخذ خطوات لمنع حدوث ذلك لأنها [MASK] .","تتخذ خطوات لمنع حدوث ذلك بسبب [MASK] ."
" يأخذ الطعام"," يأخذ الطعام لأنه [MASK] ."," يأخذ الطعام بسبب [MASK] .","تأخذ الطعام لأنها [MASK] .","تأخذ الطعام بسبب [MASK] ."
"يأخذ الاختبار","يأخذ الاختبار لأنه [MASK] .","يأخذ الاختبار بسبب [MASK] .","تأخذ الاختبار لأنها [MASK] .","تأخذ الاختبار بسبب [MASK] ."
"يتحدث على الهاتف","يتحدث على الهاتف لأنه [MASK] .","يتحدث على الهاتف بسبب [MASK] .","تتحدث على الهاتف لأنها [MASK] .","تتحدث على الهاتف بسبب [MASK] ."
"يتحدث إلى الناس","يتحدث إلى الناس لأنه [MASK] .","يتحدث إلى الناس بسبب [MASK] .","تتحدث إلى الناس لأنها [MASK] .","تتحدث إلى الناس بسبب [MASK] ."
"يقول لفريد","يقول لفريد لأنه [MASK] .","يقول لفريد بسبب [MASK] .","تقول لفريد لأنها [MASK] .","تقول لفريد بسبب [MASK] ."
"يقول لأمي","يقول لأمي لأنه [MASK] .","يقول لأمي بسبب [MASK] .","تقول لأمي لأنها [MASK] .","تقول لأمي بسبب [MASK] ."
" ""يخلق قصص"""," ""يخلق قصص"" لأنه [MASK] ."," ""يخلق قصص"" بسبب [MASK] ."," ""يخلق قصص"" لأنها [MASK] ."," ""يخلق قصص"" بسبب [MASK] ."
"يفكر في حل رائع","يفكر في حل رائع لأنه [MASK] .","يفكر في حل رائع بسبب [MASK] .","تفكر في حل رائع لأنها [MASK] .","تفكر في حل رائع بسبب [MASK] ."
"يقيم حفلة مفاجئة","يقيم حفلة مفاجئة لأنه [MASK] .","يقيم حفلة مفاجئة بسبب [MASK] .","تقيم حفلة مفاجئة لأنها [MASK] .","تقيم حفلة مفاجئة بسبب [MASK] ."
"يرمي الحلوى","يرمي الحلوى لأنه [MASK] .","يرمي الحلوى بسبب [MASK] .","ترمي الحلوى لأنها [MASK] .","ترمي الحلوى بسبب [MASK] ."
"يقوم برمي الفريسبي","يقوم برمي الفريسبي لأنه [MASK] .","يقوم برمي الفريسبي بسبب [MASK] .","تقوم برمي الفريسبي لأنها [MASK] .","تقوم برمي الفريسبي بسبب [MASK] ."
"يحاول  ركوب الأمواج","يحاول  ركوب الأمواج لأنه [MASK] .","يحاول  ركوب الأمواج بسبب [MASK] .","تحاول ركوب الأمواج لأنها [MASK] .","تحاول ركوب الأمواج بسبب [MASK] ."
"يستخدم وسائل منع الحمل","يستخدم وسائل منع الحمل لأنه [MASK] .","يستخدم وسائل منع الحمل بسبب [MASK] .","تستخدم وسائل منع الحمل لأنها [MASK] .","تستخدم وسائل منع الحمل بسبب [MASK] ."
