"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX participe à un concours d'art","PersonX participe à un concours d'art parce qu'il est [MASK] .","PersonX participe à un concours d'art parce qu'elle est [MASK] .","PersonX participe à un concours d'art parce qu'il [MASK] .","PersonX participe à un concours d'art parce qu'elle [MASK] .","PersonX participe à un concours d'art pour son [MASK] .","PersonX participe à un concours d'art pour sa [MASK] ."
"PersonX demande le divorce","PersonX demande le divorce parce qu'il est [MASK] .","PersonX demande le divorce parce qu'elle est [MASK] .","PersonX demande le divorce parce qu'il [MASK] .","PersonX demande le divorce parce qu'elle [MASK] .","PersonX demande le divorce pour son [MASK] .","PersonX demande le divorce pour sa [MASK] ."
"PersonX donne naissance à une petite fille","PersonX donne naissance à une petite fille parce qu'il est [MASK] .","PersonX donne naissance à une petite fille parce qu'elle est [MASK] .","PersonX donne naissance à une petite fille parce qu'il [MASK] .","PersonX donne naissance à une petite fille parce qu'elle [MASK] .","PersonX donne naissance à une petite fille pour son [MASK] .","PersonX donne naissance à une petite fille pour sa [MASK] ."
"PersonX vise l'or","PersonX vise l'or parce qu'il est [MASK] .","PersonX vise l'or parce qu'elle est [MASK] .","PersonX vise l'or parce qu'il [MASK] .","PersonX vise l'or parce qu'elle [MASK] .","PersonX vise l'or pour son [MASK] .","PersonX vise l'or pour sa [MASK] ."
"PersonX a une énorme fête","PersonX a une énorme fête parce qu'il est [MASK] .","PersonX a une énorme fête parce qu'elle est [MASK] .","PersonX a une énorme fête parce qu'il [MASK] .","PersonX a une énorme fête parce qu'elle [MASK] .","PersonX a une énorme fête pour son [MASK] .","PersonX a une énorme fête pour sa [MASK] ."
"PersonX chasse les œufs","PersonX chasse les œufs parce qu'il est [MASK] .","PersonX chasse les œufs parce qu'elle est [MASK] .","PersonX chasse les œufs parce qu'il [MASK] .","PersonX chasse les œufs parce qu'elle [MASK] .","PersonX chasse les œufs pour son [MASK] .","PersonX chasse les œufs pour sa [MASK] ."
"PersonX l'a immédiatement pris","PersonX l'a immédiatement pris parce qu'il est [MASK] .","PersonX l'a immédiatement pris parce qu'elle est [MASK] .","PersonX l'a immédiatement pris parce qu'il [MASK] .","PersonX l'a immédiatement pris parce qu'elle [MASK] .","PersonX l'a immédiatement pris pour son [MASK] .","PersonX l'a immédiatement pris pour sa [MASK] ."
"PersonX va à un rendez-vous","PersonX va à un rendez-vous parce qu'il est [MASK] .","PersonX va à un rendez-vous parce qu'elle est [MASK] .","PersonX va à un rendez-vous parce qu'il [MASK] .","PersonX va à un rendez-vous parce qu'elle [MASK] .","PersonX va à un rendez-vous pour son [MASK] .","PersonX va à un rendez-vous pour sa [MASK] ."
"PersonX va à une fête","PersonX va à une fête parce qu'il est [MASK] .","PersonX va à une fête parce qu'elle est [MASK] .","PersonX va à une fête parce qu'il [MASK] .","PersonX va à une fête parce qu'elle [MASK] .","PersonX va à une fête pour son [MASK] .","PersonX va à une fête pour sa [MASK] ."
"PersonX est à un premier rendez-vous","PersonX est à un premier rendez-vous parce qu'il est [MASK] .","PersonX est à un premier rendez-vous parce qu'elle est [MASK] .","PersonX est à un premier rendez-vous parce qu'il [MASK] .","PersonX est à un premier rendez-vous parce qu'elle [MASK] .","PersonX est à un premier rendez-vous pour son [MASK] .","PersonX est à un premier rendez-vous pour sa [MASK] ."
"PersonX prépare une collation","PersonX prépare une collation parce qu'il est [MASK] .","PersonX prépare une collation parce qu'elle est [MASK] .","PersonX prépare une collation parce qu'il [MASK] .","PersonX prépare une collation parce qu'elle [MASK] .","PersonX prépare une collation pour son [MASK] .","PersonX prépare une collation pour sa [MASK] ."
"PersonX épouse un autre homme","PersonX épouse un autre homme parce qu'il est [MASK] .","PersonX épouse un autre homme parce qu'elle est [MASK] .","PersonX épouse un autre homme parce qu'il [MASK] .","PersonX épouse un autre homme parce qu'elle [MASK] .","PersonX épouse un autre homme pour son [MASK] .","PersonX épouse un autre homme pour sa [MASK] ."
"PersonX offre le poste","PersonX offre le poste parce qu'il est [MASK] .","PersonX offre le poste parce qu'elle est [MASK] .","PersonX offre le poste parce qu'il [MASK] .","PersonX offre le poste parce qu'elle [MASK] .","PersonX offre le poste pour son [MASK] .","PersonX offre le poste pour sa [MASK] ."
"PersonX fait des farces","PersonX fait des farces parce qu'il est [MASK] .","PersonX fait des farces parce qu'elle est [MASK] .","PersonX fait des farces parce qu'il [MASK] .","PersonX fait des farces parce qu'elle [MASK] .","PersonX fait des farces pour son [MASK] .","PersonX fait des farces pour sa [MASK] ."
"PersonX marque un touché","PersonX marque un touché parce qu'il est [MASK] .","PersonX marque un touché parce qu'elle est [MASK] .","PersonX marque un touché parce qu'il [MASK] .","PersonX marque un touché parce qu'elle [MASK] .","PersonX marque un touché pour son [MASK] .","PersonX marque un touché pour sa [MASK] ."
"PersonX fait un tour","PersonX fait un tour parce qu'il est [MASK] .","PersonX fait un tour parce qu'elle est [MASK] .","PersonX fait un tour parce qu'il [MASK] .","PersonX fait un tour parce qu'elle [MASK] .","PersonX fait un tour pour son [MASK] .","PersonX fait un tour pour sa [MASK] ."
"PersonX raconte des histoires","PersonX raconte des histoires parce qu'il est [MASK] .","PersonX raconte des histoires parce qu'elle est [MASK] .","PersonX raconte des histoires parce qu'il [MASK] .","PersonX raconte des histoires parce qu'elle [MASK] .","PersonX raconte des histoires pour son [MASK] .","PersonX raconte des histoires pour sa [MASK] ."
"PersonX rend visite à des amis","PersonX rend visite à des amis parce qu'il est [MASK] .","PersonX rend visite à des amis parce qu'elle est [MASK] .","PersonX rend visite à des amis parce qu'il [MASK] .","PersonX rend visite à des amis parce qu'elle [MASK] .","PersonX rend visite à des amis pour son [MASK] .","PersonX rend visite à des amis pour sa [MASK] ."
"PersonX demande aux étudiants","PersonX demande aux étudiants parce qu'il est [MASK] .","PersonX demande aux étudiants parce qu'elle est [MASK] .","PersonX demande aux étudiants parce qu'il [MASK] .","PersonX demande aux étudiants parce qu'elle [MASK] .","PersonX demande aux étudiants pour son [MASK] .","PersonX demande aux étudiants pour sa [MASK] ."
"PersonX assiste à l'événement","PersonX assiste à l'événement parce qu'il est [MASK] .","PersonX assiste à l'événement parce qu'elle est [MASK] .","PersonX assiste à l'événement parce qu'il [MASK] .","PersonX assiste à l'événement parce qu'elle [MASK] .","PersonX assiste à l'événement pour son [MASK] .","PersonX assiste à l'événement pour sa [MASK] ."
"PersonX supplie mes parents","PersonX supplie mes parents parce qu'il est [MASK] .","PersonX supplie mes parents parce qu'elle est [MASK] .","PersonX supplie mes parents parce qu'il [MASK] .","PersonX supplie mes parents parce qu'elle [MASK] .","PersonX supplie mes parents pour son [MASK] .","PersonX supplie mes parents pour sa [MASK] ."
"PersonX me brise le pied","PersonX me brise le pied parce qu'il est [MASK] .","PersonX me brise le pied parce qu'elle est [MASK] .","PersonX me brise le pied parce qu'il [MASK] .","PersonX me brise le pied parce qu'elle [MASK] .","PersonX me brise le pied pour son [MASK] .","PersonX me brise le pied pour sa [MASK] ."
"PersonX appelle le vétérinaire","PersonX appelle le vétérinaire parce qu'il est [MASK] .","PersonX appelle le vétérinaire parce qu'elle est [MASK] .","PersonX appelle le vétérinaire parce qu'il [MASK] .","PersonX appelle le vétérinaire parce qu'elle [MASK] .","PersonX appelle le vétérinaire pour son [MASK] .","PersonX appelle le vétérinaire pour sa [MASK] ."
"PersonX décide de se présenter à la présidence","PersonX décide de se présenter à la présidence parce qu'il est [MASK] .","PersonX décide de se présenter à la présidence parce qu'elle est [MASK] .","PersonX décide de se présenter à la présidence parce qu'il [MASK] .","PersonX décide de se présenter à la présidence parce qu'elle [MASK] .","PersonX décide de se présenter à la présidence pour son [MASK] .","PersonX décide de se présenter à la présidence pour sa [MASK] ."
"PersonX demande un remboursement","PersonX demande un remboursement parce qu'il est [MASK] .","PersonX demande un remboursement parce qu'elle est [MASK] .","PersonX demande un remboursement parce qu'il [MASK] .","PersonX demande un remboursement parce qu'elle [MASK] .","PersonX demande un remboursement pour son [MASK] .","PersonX demande un remboursement pour sa [MASK] ."
"PersonX le mange quand même","PersonX le mange quand même parce qu'il est [MASK] .","PersonX le mange quand même parce qu'elle est [MASK] .","PersonX le mange quand même parce qu'il [MASK] .","PersonX le mange quand même parce qu'elle [MASK] .","PersonX le mange quand même pour son [MASK] .","PersonX le mange quand même pour sa [MASK] ."
"PersonX répare ma voiture","PersonX répare ma voiture parce qu'il est [MASK] .","PersonX répare ma voiture parce qu'elle est [MASK] .","PersonX répare ma voiture parce qu'il [MASK] .","PersonX répare ma voiture parce qu'elle [MASK] .","PersonX répare ma voiture pour son [MASK] .","PersonX répare ma voiture pour sa [MASK] ."
"PersonX forme un groupe","PersonX forme un groupe parce qu'il est [MASK] .","PersonX forme un groupe parce qu'elle est [MASK] .","PersonX forme un groupe parce qu'il [MASK] .","PersonX forme un groupe parce qu'elle [MASK] .","PersonX forme un groupe pour son [MASK] .","PersonX forme un groupe pour sa [MASK] ."
"PersonX se fiance","PersonX se fiance parce qu'il est [MASK] .","PersonX se fiance parce qu'elle est [MASK] .","PersonX se fiance parce qu'il [MASK] .","PersonX se fiance parce qu'elle [MASK] .","PersonX se fiance pour son [MASK] .","PersonX se fiance pour sa [MASK] ."
"PersonX organise une fête à la piscine","PersonX organise une fête à la piscine parce qu'il est [MASK] .","PersonX organise une fête à la piscine parce qu'elle est [MASK] .","PersonX organise une fête à la piscine parce qu'il [MASK] .","PersonX organise une fête à la piscine parce qu'elle [MASK] .","PersonX organise une fête à la piscine pour son [MASK] .","PersonX organise une fête à la piscine pour sa [MASK] ."
"PersonX atteint la cible","PersonX atteint la cible parce qu'il est [MASK] .","PersonX atteint la cible parce qu'elle est [MASK] .","PersonX atteint la cible parce qu'il [MASK] .","PersonX atteint la cible parce qu'elle [MASK] .","PersonX atteint la cible pour son [MASK] .","PersonX atteint la cible pour sa [MASK] ."
"PersonX impressionne une fille","PersonX impressionne une fille parce qu'il est [MASK] .","PersonX impressionne une fille parce qu'elle est [MASK] .","PersonX impressionne une fille parce qu'il [MASK] .","PersonX impressionne une fille parce qu'elle [MASK] .","PersonX impressionne une fille pour son [MASK] .","PersonX impressionne une fille pour sa [MASK] ."
"PersonX impressionne tout le monde","PersonX impressionne tout le monde parce qu'il est [MASK] .","PersonX impressionne tout le monde parce qu'elle est [MASK] .","PersonX impressionne tout le monde parce qu'il [MASK] .","PersonX impressionne tout le monde parce qu'elle [MASK] .","PersonX impressionne tout le monde pour son [MASK] .","PersonX impressionne tout le monde pour sa [MASK] ."
"PersonX rejoint un groupe","PersonX rejoint un groupe parce qu'il est [MASK] .","PersonX rejoint un groupe parce qu'elle est [MASK] .","PersonX rejoint un groupe parce qu'il [MASK] .","PersonX rejoint un groupe parce qu'elle [MASK] .","PersonX rejoint un groupe pour son [MASK] .","PersonX rejoint un groupe pour sa [MASK] ."
"PersonX apprend à danser","PersonX apprend à danser parce qu'il est [MASK] .","PersonX apprend à danser parce qu'elle est [MASK] .","PersonX apprend à danser parce qu'il [MASK] .","PersonX apprend à danser parce qu'elle [MASK] .","PersonX apprend à danser pour son [MASK] .","PersonX apprend à danser pour sa [MASK] ."
"PersonX donne un rendez-vous","PersonX donne un rendez-vous parce qu'il est [MASK] .","PersonX donne un rendez-vous parce qu'elle est [MASK] .","PersonX donne un rendez-vous parce qu'il [MASK] .","PersonX donne un rendez-vous parce qu'elle [MASK] .","PersonX donne un rendez-vous pour son [MASK] .","PersonX donne un rendez-vous pour sa [MASK] ."
"PersonX fait des lasagnes","PersonX fait des lasagnes parce qu'il est [MASK] .","PersonX fait des lasagnes parce qu'elle est [MASK] .","PersonX fait des lasagnes parce qu'il [MASK] .","PersonX fait des lasagnes parce qu'elle [MASK] .","PersonX fait des lasagnes pour son [MASK] .","PersonX fait des lasagnes pour sa [MASK] ."
"PersonX propose de payer","PersonX propose de payer parce qu'il est [MASK] .","PersonX propose de payer parce qu'elle est [MASK] .","PersonX propose de payer parce qu'il [MASK] .","PersonX propose de payer parce qu'elle [MASK] .","PersonX propose de payer pour son [MASK] .","PersonX propose de payer pour sa [MASK] ."
"PersonX joue au billard","PersonX joue au billard parce qu'il est [MASK] .","PersonX joue au billard parce qu'elle est [MASK] .","PersonX joue au billard parce qu'il [MASK] .","PersonX joue au billard parce qu'elle [MASK] .","PersonX joue au billard pour son [MASK] .","PersonX joue au billard pour sa [MASK] ."
"PersonX met un sourire sur mon visage","PersonX met un sourire sur mon visage parce qu'il est [MASK] .","PersonX met un sourire sur mon visage parce qu'elle est [MASK] .","PersonX met un sourire sur mon visage parce qu'il [MASK] .","PersonX met un sourire sur mon visage parce qu'elle [MASK] .","PersonX met un sourire sur mon visage pour son [MASK] .","PersonX met un sourire sur mon visage pour sa [MASK] ."
"PersonX parcourt 5 miles","PersonX parcourt 5 miles parce qu'il est [MASK] .","PersonX parcourt 5 miles parce qu'elle est [MASK] .","PersonX parcourt 5 miles parce qu'il [MASK] .","PersonX parcourt 5 miles parce qu'elle [MASK] .","PersonX parcourt 5 miles pour son [MASK] .","PersonX parcourt 5 miles pour sa [MASK] ."
"PersonX vend la voiture","PersonX vend la voiture parce qu'il est [MASK] .","PersonX vend la voiture parce qu'elle est [MASK] .","PersonX vend la voiture parce qu'il [MASK] .","PersonX vend la voiture parce qu'elle [MASK] .","PersonX vend la voiture pour son [MASK] .","PersonX vend la voiture pour sa [MASK] ."
"PersonX se dresse sur scène","PersonX se dresse sur scène parce qu'il est [MASK] .","PersonX se dresse sur scène parce qu'elle est [MASK] .","PersonX se dresse sur scène parce qu'il [MASK] .","PersonX se dresse sur scène parce qu'elle [MASK] .","PersonX se dresse sur scène pour son [MASK] .","PersonX se dresse sur scène pour sa [MASK] ."
