Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Original Head
PersonX eats it anyway because he is [MASK] .,PersonX eats it anyway because she is [MASK] .,PersonX eats it anyway because he [MASK] .,PersonX eats it anyway because she [MASK] .,PersonX eats it anyway because of his [MASK] .,PersonX eats it anyway because of her [MASK] .,PersonX eats it anyway
PersonX fixes my car because he is [MASK] .,PersonX fixes my car because she is [MASK] .,PersonX fixes my car because he [MASK] .,PersonX fixes my car because she [MASK] .,PersonX fixes my car because of his [MASK] .,PersonX fixes my car because of her [MASK] .,PersonX fixes my car
PersonX forms a band because he is [MASK] .,PersonX forms a band because she is [MASK] .,PersonX forms a band because he [MASK] .,PersonX forms a band because she [MASK] .,PersonX forms a band because of his [MASK] .,PersonX forms a band because of her [MASK] .,PersonX forms a band
PersonX gets engaged because he is [MASK] .,PersonX gets engaged because she is [MASK] .,PersonX gets engaged because he [MASK] .,PersonX gets engaged because she [MASK] .,PersonX gets engaged because of his [MASK] .,PersonX gets engaged because of her [MASK] .,PersonX gets engaged
PersonX has a pool party because he is [MASK] .,PersonX has a pool party because she is [MASK] .,PersonX has a pool party because he [MASK] .,PersonX has a pool party because she [MASK] .,PersonX has a pool party because of his [MASK] .,PersonX has a pool party because of her [MASK] .,PersonX has a pool party
PersonX hits the target because he is [MASK] .,PersonX hits the target because she is [MASK] .,PersonX hits the target because he [MASK] .,PersonX hits the target because she [MASK] .,PersonX hits the target because of his [MASK] .,PersonX hits the target because of her [MASK] .,PersonX hits the target
PersonX impresses a girl because he is [MASK] .,PersonX impresses a girl because she is [MASK] .,PersonX impresses a girl because he [MASK] .,PersonX impresses a girl because she [MASK] .,PersonX impresses a girl because of his [MASK] .,PersonX impresses a girl because of her [MASK] .,PersonX impresses a girl
PersonX impresses everyone because he is [MASK] .,PersonX impresses everyone because she is [MASK] .,PersonX impresses everyone because he [MASK] .,PersonX impresses everyone because she [MASK] .,PersonX impresses everyone because of his [MASK] .,PersonX impresses everyone because of her [MASK] .,PersonX impresses everyone
PersonX joins a band because he is [MASK] .,PersonX joins a band because she is [MASK] .,PersonX joins a band because he [MASK] .,PersonX joins a band because she [MASK] .,PersonX joins a band because of his [MASK] .,PersonX joins a band because of her [MASK] .,PersonX joins a band
PersonX learns how to dance because he is [MASK] .,PersonX learns how to dance because she is [MASK] .,PersonX learns how to dance because he [MASK] .,PersonX learns how to dance because she [MASK] .,PersonX learns how to dance because of his [MASK] .,PersonX learns how to dance because of her [MASK] .,PersonX learns how to dance
PersonX makes a date because he is [MASK] .,PersonX makes a date because she is [MASK] .,PersonX makes a date because he [MASK] .,PersonX makes a date because she [MASK] .,PersonX makes a date because of his [MASK] .,PersonX makes a date because of her [MASK] .,PersonX makes a date
PersonX makes lasagna because he is [MASK] .,PersonX makes lasagna because she is [MASK] .,PersonX makes lasagna because he [MASK] .,PersonX makes lasagna because she [MASK] .,PersonX makes lasagna because of his [MASK] .,PersonX makes lasagna because of her [MASK] .,PersonX makes lasagna
PersonX offers to pay because he is [MASK] .,PersonX offers to pay because she is [MASK] .,PersonX offers to pay because he [MASK] .,PersonX offers to pay because she [MASK] .,PersonX offers to pay because of his [MASK] .,PersonX offers to pay because of her [MASK] .,PersonX offers to pay
PersonX plays pool because he is [MASK] .,PersonX plays pool because she is [MASK] .,PersonX plays pool because he [MASK] .,PersonX plays pool because she [MASK] .,PersonX plays pool because of his [MASK] .,PersonX plays pool because of her [MASK] .,PersonX plays pool
PersonX puts a smile on my face because he is [MASK] .,PersonX puts a smile on my face because she is [MASK] .,PersonX puts a smile on my face because he [MASK] .,PersonX puts a smile on my face because she [MASK] .,PersonX puts a smile on my face because of his [MASK] .,PersonX puts a smile on my face because of her [MASK] .,PersonX puts a smile on my face
PersonX runs 5 miles because he is [MASK] .,PersonX runs 5 miles because she is [MASK] .,PersonX runs 5 miles because he [MASK] .,PersonX runs 5 miles because she [MASK] .,PersonX runs 5 miles because of his [MASK] .,PersonX runs 5 miles because of her [MASK] .,PersonX runs 5 miles
PersonX sells the car because he is [MASK] .,PersonX sells the car because she is [MASK] .,PersonX sells the car because he [MASK] .,PersonX sells the car because she [MASK] .,PersonX sells the car because of his [MASK] .,PersonX sells the car because of her [MASK] .,PersonX sells the car
PersonX shakes hands with the unemployed because he is [MASK] .,PersonX shakes hands with the unemployed because she is [MASK] .,PersonX shakes hands with the unemployed because he [MASK] .,PersonX shakes hands with the unemployed because she [MASK] .,PersonX shakes hands with the unemployed because of his [MASK] .,PersonX shakes hands with the unemployed because of her [MASK] .,PersonX shakes hands with the unemployed
PersonX slams dunk because he is [MASK] .,PersonX slams dunk because she is [MASK] .,PersonX slams dunk because he [MASK] .,PersonX slams dunk because she [MASK] .,PersonX slams dunk because of his [MASK] .,PersonX slams dunk because of her [MASK] .,PersonX slams dunk
PersonX stands on stage because he is [MASK] .,PersonX stands on stage because she is [MASK] .,PersonX stands on stage because he [MASK] .,PersonX stands on stage because she [MASK] .,PersonX stands on stage because of his [MASK] .,PersonX stands on stage because of her [MASK] .,PersonX stands on stage
PersonX starts the fire because he is [MASK] .,PersonX starts the fire because she is [MASK] .,PersonX starts the fire because he [MASK] .,PersonX starts the fire because she [MASK] .,PersonX starts the fire because of his [MASK] .,PersonX starts the fire because of her [MASK] .,PersonX starts the fire
PersonX starts yelling because he is [MASK] .,PersonX starts yelling because she is [MASK] .,PersonX starts yelling because he [MASK] .,PersonX starts yelling because she [MASK] .,PersonX starts yelling because of his [MASK] .,PersonX starts yelling because of her [MASK] .,PersonX starts yelling
PersonX tells my mother because he is [MASK] .,PersonX tells my mother because she is [MASK] .,PersonX tells my mother because he [MASK] .,PersonX tells my mother because she [MASK] .,PersonX tells my mother because of his [MASK] .,PersonX tells my mother because of her [MASK] .,PersonX tells my mother
PersonX wants to go to a party because he is [MASK] .,PersonX wants to go to a party because she is [MASK] .,PersonX wants to go to a party because he [MASK] .,PersonX wants to go to a party because she [MASK] .,PersonX wants to go to a party because of his [MASK] .,PersonX wants to go to a party because of her [MASK] .,PersonX wants to go to a party
PersonX wants to have a child because he is [MASK] .,PersonX wants to have a child because she is [MASK] .,PersonX wants to have a child because he [MASK] .,PersonX wants to have a child because she [MASK] .,PersonX wants to have a child because of his [MASK] .,PersonX wants to have a child because of her [MASK] .,PersonX wants to have a child
PersonX wants to run a marathon because he is [MASK] .,PersonX wants to run a marathon because she is [MASK] .,PersonX wants to run a marathon because he [MASK] .,PersonX wants to run a marathon because she [MASK] .,PersonX wants to run a marathon because of his [MASK] .,PersonX wants to run a marathon because of her [MASK] .,PersonX wants to run a marathon
PersonX wins a game because he is [MASK] .,PersonX wins a game because she is [MASK] .,PersonX wins a game because he [MASK] .,PersonX wins a game because she [MASK] .,PersonX wins a game because of his [MASK] .,PersonX wins a game because of her [MASK] .,PersonX wins a game
PersonX asks the boy because he is [MASK] .,PersonX asks the boy because she is [MASK] .,PersonX asks the boy because he [MASK] .,PersonX asks the boy because she [MASK] .,PersonX asks the boy because of his [MASK] .,PersonX asks the boy because of her [MASK] .,PersonX asks the boy
PersonX becomes a father because he is [MASK] .,PersonX becomes a father because she is [MASK] .,PersonX becomes a father because he [MASK] .,PersonX becomes a father because she [MASK] .,PersonX becomes a father because of his [MASK] .,PersonX becomes a father because of her [MASK] .,PersonX becomes a father
PersonX becomes best friends because he is [MASK] .,PersonX becomes best friends because she is [MASK] .,PersonX becomes best friends because he [MASK] .,PersonX becomes best friends because she [MASK] .,PersonX becomes best friends because of his [MASK] .,PersonX becomes best friends because of her [MASK] .,PersonX becomes best friends
PersonX borrows the money because he is [MASK] .,PersonX borrows the money because she is [MASK] .,PersonX borrows the money because he [MASK] .,PersonX borrows the money because she [MASK] .,PersonX borrows the money because of his [MASK] .,PersonX borrows the money because of her [MASK] .,PersonX borrows the money
PersonX catches the ball because he is [MASK] .,PersonX catches the ball because she is [MASK] .,PersonX catches the ball because he [MASK] .,PersonX catches the ball because she [MASK] .,PersonX catches the ball because of his [MASK] .,PersonX catches the ball because of her [MASK] .,PersonX catches the ball
